direction	role	mode	teacher	MAE	Corr
A	inner_valid	LV	Soft-Oracle final tau=0.05	0.4349438056	0.858979551051061
A	inner_valid	LV	Soft-Oracle final tau=0.1	0.4588937645	0.8488651456568206
A	inner_valid	LV	Soft-Oracle final tau=0.2	0.4945412677	0.8329738044117532
A	inner_valid	L	Equal Teacher	0.5833217376	0.783881824986162
A	inner_valid	L	Hard select-one Oracle	0.4268345722	NA
A	inner_valid	L	Fixed Teacher l2=0.0	0.5824294913	0.7846392271549787
A	inner_valid	L	Fixed Teacher l2=0.001	0.5824547745	0.7846050467624096
A	inner_valid	L	Fixed Teacher l2=0.01	0.5826109603	0.7843995026575995
A	inner_valid	L	Soft-Oracle final tau=0.02	0.427652003	0.8624521537263814
A	inner_valid	L	Soft-Oracle final tau=0.05	0.4379670125	0.8578317908548376
A	inner_valid	L	Soft-Oracle final tau=0.1	0.461953152	0.8475343027707594
A	inner_valid	L	Soft-Oracle final tau=0.2	0.4975265312	0.8315244374712966
A	inner_valid	Overall	Equal Teacher	0.5818171381	0.7847837502151401
A	inner_valid	Overall	Hard select-one Oracle	0.4248862748	NA
A	inner_valid	Overall	Fixed Teacher l2=0.0	0.5809467363	0.7855972553916891
A	inner_valid	Overall	Fixed Teacher l2=0.001	0.5809718043	0.7855606917102401
A	inner_valid	Overall	Fixed Teacher l2=0.01	0.5811330632	0.7853395208239812
A	inner_valid	Overall	Soft-Oracle final tau=0.02	0.4256290487	0.8631989463020999
A	inner_valid	Overall	Soft-Oracle final tau=0.05	0.4358141267	0.8586135576757241
A	inner_valid	Overall	Soft-Oracle final tau=0.1	0.4598017213	0.8484324796739535
A	inner_valid	Overall	Soft-Oracle final tau=0.2	0.4955818173	0.832466997366032
B	inner_train	LAV	Equal Teacher	0.556718261	0.7402487870044407
B	inner_train	LAV	Hard select-one Oracle	0.3997506859	NA
B	inner_train	LAV	Fixed Teacher l2=0.0	0.5566660776	0.7401905526842607
B	inner_train	LAV	Fixed Teacher l2=0.001	0.5566545135	0.7402025741972154
B	inner_train	LAV	Fixed Teacher l2=0.01	0.5565975824	0.7402724507211244
B	inner_train	LAV	Soft-Oracle final tau=0.02	0.3994287596	0.8407114851472371
B	inner_train	LAV	Soft-Oracle final tau=0.05	0.4088676902	0.8355981948469499
B	inner_train	LAV	Soft-Oracle final tau=0.1	0.4326268098	0.8236769431141047
B	inner_train	LAV	Soft-Oracle final tau=0.2	0.4692829601	0.8037410658761881
B	inner_train	LA	Equal Teacher	0.5584772254	0.7382084500151274
B	inner_train	LA	Hard select-one Oracle	0.4023054425	NA
B	inner_train	LA	Fixed Teacher l2=0.0	0.5584659879	0.7381947796957177
B	inner_train	LA	Fixed Teacher l2=0.001	0.5584481316	0.7382078461793352
B	inner_train	LA	Fixed Teacher l2=0.01	0.5583608627	0.7382810812474064
B	inner_train	LA	Soft-Oracle final tau=0.02	0.4022629223	0.8387802539291058
B	inner_train	LA	Soft-Oracle final tau=0.05	0.4119708599	0.8335686691473384
B	inner_train	LA	Soft-Oracle final tau=0.1	0.4355442876	0.821570844711006
B	inner_train	LA	Soft-Oracle final tau=0.2	0.4719199197	0.8015872347176096
B	inner_train	LV	Equal Teacher	0.5567866368	0.7402050953520484
B	inner_train	LV	Hard select-one Oracle	0.4008493196	NA
B	inner_train	LV	Fixed Teacher l2=0.0	0.5567322367	0.7401969116514295
B	inner_train	LV	Fixed Teacher l2=0.001	0.5567177311	0.7402084032333861
B	inner_train	LV	Fixed Teacher l2=0.01	0.5566465252	0.7402724437170215
B	inner_train	LV	Soft-Oracle final tau=0.02	0.4009074682	0.8403044017156178
B	inner_train	LV	Soft-Oracle final tau=0.05	0.4104776171	0.8351251491441138
B	inner_train	LV	Soft-Oracle final tau=0.1	0.4341606356	0.8231425931077
B	inner_train	LV	Soft-Oracle final tau=0.2	0.4705823715	0.8031814761687794
B	inner_train	L	Equal Teacher	0.5584982349	0.7382943486398977
B	inner_train	L	Hard select-one Oracle	0.4029136296	NA
B	inner_train	L	Fixed Teacher l2=0.0	0.5584893348	0.7382860970827991
B	inner_train	L	Fixed Teacher l2=0.001	0.5584679697	0.7382996028018903
B	inner_train	L	Fixed Teacher l2=0.01	0.5583621052	0.7383736792784905
B	inner_train	L	Soft-Oracle final tau=0.02	0.4029706352	0.8387353051921442
B	inner_train	L	Soft-Oracle final tau=0.05	0.412656094	0.833499447868936
B	inner_train	L	Soft-Oracle final tau=0.1	0.4362837971	0.8214693521635201
B	inner_train	L	Soft-Oracle final tau=0.2	0.4726064665	0.8014237645540998
B	inner_train	Overall	Equal Teacher	0.5576200895	0.7392287414522153
B	inner_train	Overall	Hard select-one Oracle	0.4014547694	NA
B	inner_train	Overall	Fixed Teacher l2=0.0	0.5575884092	0.7392160485041485
B	inner_train	Overall	Fixed Teacher l2=0.001	0.5575720865	0.7392283758760002
B	inner_train	Overall	Fixed Teacher l2=0.01	0.5574917689	0.7392972290367762
B	inner_train	Overall	Soft-Oracle final tau=0.02	0.4013924463	0.8396239116557865
B	inner_train	Overall	Soft-Oracle final tau=0.05	0.4109930653	0.8344386373531762
B	inner_train	Overall	Soft-Oracle final tau=0.1	0.4346538825	0.8224552633683995
B	inner_train	Overall	Soft-Oracle final tau=0.2	0.4710979294	0.8024735954615667
B	inner_valid	LAV	Equal Teacher	0.5258647663	0.754152270183397
B	inner_valid	LAV	Hard select-one Oracle	0.3702023939	NA
B	inner_valid	LAV	Fixed Teacher l2=0.0	0.5259823376	0.7539523117773249
B	inner_valid	LAV	Fixed Teacher l2=0.001	0.5259753357	0.753977401063958
B	inner_valid	LAV	Fixed Teacher l2=0.01	0.5258968012	0.7541478618501519
B	inner_valid	LAV	Soft-Oracle final tau=0.02	0.3702376609	0.8562534298062197
B	inner_valid	LAV	Soft-Oracle final tau=0.05	0.3800573451	0.8508633851609537
B	inner_valid	LAV	Soft-Oracle final tau=0.1	0.4037410041	0.8387159960351309
B	inner_valid	LAV	Soft-Oracle final tau=0.2	0.4390716011	0.8187585998208752
B	inner_valid	LA	Equal Teacher	0.5293446858	0.7513573488197309
B	inner_valid	LA	Hard select-one Oracle	0.3762642529	NA
B	inner_valid	LA	Fixed Teacher l2=0.0	0.5298206156	0.7504720685678307
B	inner_valid	LA	Fixed Teacher l2=0.001	0.5298140139	0.750504599932765
B	inner_valid	LA	Fixed Teacher l2=0.01	0.5297322859	0.750755795885884
B	inner_valid	LA	Soft-Oracle final tau=0.02	0.3762536394	0.8535299591721294
B	inner_valid	LA	Soft-Oracle final tau=0.05	0.386336735	0.8481892153617665
B	inner_valid	LA	Soft-Oracle final tau=0.1	0.4093351869	0.8359784932299068
B	inner_valid	LA	Soft-Oracle final tau=0.2	0.4440435014	0.815864260740893
B	inner_valid	LV	Equal Teacher	0.525837683	0.7542331949778861
B	inner_valid	LV	Hard select-one Oracle	0.3716700577	NA
B	inner_valid	LV	Fixed Teacher l2=0.0	0.5257488465	0.7541434762528226
B	inner_valid	LV	Fixed Teacher l2=0.001	0.5257619583	0.754155813895331
B	inner_valid	LV	Fixed Teacher l2=0.01	0.525777734	0.7542679855777912
B	inner_valid	LV	Soft-Oracle final tau=0.02	0.3721012934	0.8561826317640232
B	inner_valid	LV	Soft-Oracle final tau=0.05	0.381785018	0.8508058886276127
B	inner_valid	LV	Soft-Oracle final tau=0.1	0.4054012589	0.838592009324621
B	inner_valid	LV	Soft-Oracle final tau=0.2	0.4402223964	0.8186030296571049
B	inner_valid	L	Equal Teacher	0.5289482487	0.7516756508686215
B	inner_valid	L	Hard select-one Oracle	0.3765949039	NA
B	inner_valid	L	Fixed Teacher l2=0.0	0.5292849769	0.750925655402525
B	inner_valid	L	Fixed Teacher l2=0.001	0.5293016084	0.7509428297096864
B	inner_valid	L	Fixed Teacher l2=0.01	0.5293102912	0.7511209859464171
B	inner_valid	L	Soft-Oracle final tau=0.02	0.3768230465	0.8540334921039986
B	inner_valid	L	Soft-Oracle final tau=0.05	0.386613224	0.8486467406799733
B	inner_valid	L	Soft-Oracle final tau=0.1	0.4096960685	0.8364174344159295
B	inner_valid	L	Soft-Oracle final tau=0.2	0.4441793137	0.8162641767886053
B	inner_valid	Overall	Equal Teacher	0.5274988459	0.7528422971934176
B	inner_valid	Overall	Hard select-one Oracle	0.3736829021	NA
B	inner_valid	Overall	Fixed Teacher l2=0.0	0.5277091941	0.7523726015663555
B	inner_valid	Overall	Fixed Teacher l2=0.001	0.5277132291	0.752394175544685
B	inner_valid	Overall	Fixed Teacher l2=0.01	0.5276792781	0.7525705479373563
B	inner_valid	Overall	Soft-Oracle final tau=0.02	0.3738539101	0.8549918341956645
B	inner_valid	Overall	Soft-Oracle final tau=0.05	0.3836980805	0.8496175748370329
B	inner_valid	Overall	Soft-Oracle final tau=0.1	0.4070433796	0.8374157330823895
B	inner_valid	Overall	Soft-Oracle final tau=0.2	0.4418792031	0.8173614558789525
